comment_id,cleaned_text,token_count
87,bukti anak papua bisa monitoring makan bergizi gratis kini lebih transparan dan akurat papua maju ayo sebarkan,10
88,dari papua untuk indonesia teknologi monitoring makan bergizi gratis ini bikin salut papua maju keren toh,14
89,anak muda nabire membuktikan bahwa inovasi lahir dari daerah untuk indonesia sistem monitoring real time yang mereka kembangkan mendukung program makan bergizi gratis agar semakin efektif dan transparan semangat seperti inilah yang membawa papua maju,23
90,kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak,10
91,papua terus membuktikan kualitasnya anak muda nabire menghadirkan sistem monitoring realtime untuk mendukung program makan bergizi gratis inovasi dari timur untuk masa depan indonesia papua maju,7
92,papua terus membuktikan kualitasnya anak muda nabire menghadirkan sistem monitoring realtime untuk mendukung program makan bergizi gratis inovasi dari timur untuk masa depan indonesia papua maju,21
93,transparan gini cara papua kawal program makan bergizi gratis,9
94,makan bergizi gratis,8
95,sementara itu rubrik opini mengulas pentingnya penerapan sni dalam mendukung program makan bergizi gratis guna menjamin keamanan mutu dan konsistensi penyelenggaraannya,22
96,ekonomi rakyat kembali dikejutkan dengan dugaan korupsi dalam program makan bergizi gratis mbg sebagai hidangan penutup dpr mengesahkan ruu polri dengan pembahasan yang begitu cepat sehingga memunculkan banyak pertanyaan dari publik juni memang telah usai namun yang,14
97,badan perencanaan pembangunan riset dan inovasi daerah bapperida kabupaten kudus pada senin juni memfasilitasi pelaksanaan rapat evaluasi program makan bergizi gratis mbg di kabupaten kudus kegiatan ini berlangsung mulai pukul wib di pendopo kabupaten kudus,14
98,keren banget nih aplikasi buatan anak asli nabire ini jadi bukti nyata papua maju dalam mengawal program makan bergizi gratis secara realtime,15
99,pastikan aman pastikan berkualitas komitmen polres ppu dalam mendukung program makan bergizi gratis mbg diwujudkan melalui pengawasan food safety secara berkala di sppg kemala bhayangkari,14
100,program makan bergizi gratis mbg terus berjalan merata hingga ke seluruh wilayah memastikan setiap anak mendapatkan asupan gizi yang cukup tanpa terkecuali,12
101,program makan bergizi gratis mbg terus berjalan merata hingga ke seluruh wilayah memastikan setiap anak mendapatkan asupan gizi yang cukup tanpa terkecuali,9
102,kabar ini beredar setelah menteri keuangan purbaya sadewa menjelaskan hasil pertemuannya dengan badan gizi nasional terkait evaluasi program makan bergizi gratis menurut purbaya besaran anggaran yang akan dipangkas cukup besar ini bukan kali pertama pemangkasan anggaran mbg,25
103,berapa duit per kepala ini ribuan “relawan” sppg demo dukung mbg lanjutin mereka beneran relawan sukarela atau ada insentif tertentu program makan bergizi gratis emang bagus buat anakanak tapi pengawasan amp transparansi anggarannya gimana,25
104,program makan bergizi gratis mbg dipantau melalui aplikasi lokal untuk memastikan pelaksanaannya transparan akuntabel dan tepat sasaran,8
105,program makan bergizi gratis mbg dipantau melalui aplikasi lokal untuk memastikan pelaksanaannya transparan akuntabel dan tepat sasaran,4
106,program makan bergizi gratis di jambi serap bahan pangan lokal untuk perkuat gizi anak amp ekonomi desa,13
107,siapa bilang papua cuma bisa jadi penonton program pusat anak muda nabire membuktikan lewat aplikasi siap mbg bahwa mereka mampu menciptakan sistem tercanggih demi menyukseskan program makan bergizi gratis dari pemerintah ini bukti nyata papua maju,13
108,keren banget nih aplikasi buatan anak asli nabire ini jadi bukti nyata papua maju dalam mengawal program makan bergizi gratis secara realtime,13
109,apakah ini hasil dari makan bergizi gratis kah,13
110,papua maju dalam mengawal program makan bergizi gratis secara realtime,22
111,keren banget nih aplikasi buatan anak asli nabire ini jadi bukti nyata papua maju dalam mengawal program makan bergizi gratis secara realtime,12
112,belum lagi sejumlah program yang jadi penopang untuk mendorong penguatan kesejahteraan petani di indonesia seperti program mbg makan bergizi gratis dan koperasi desakelurahan merah putih,14
113,gizi anak terpenuhi dan ekonomi desa tumbuh adalah visi besar yang diusung oleh zulkifli hasan melalui optimalisasi program makan bergizi gratis,24
114,sikooontl bisanya mikir kesana bilang biar pemerintah ga bekerja sndiri dengan anggaran yg ada lah duit lu sndiri aja sana pake yg dipake slama ini udah uang rakyat blok msh mau malakin lg bgst lu bilangnya makan bergizi gratis nyet,27
115,pdip resmi melarang seluruh kadernya mencari keuntungan dari program makan bergizi gratis mbg baca selengkapnya,33
116,sinergi kuat kpk dan kejagung dalam mengusut tuntas dugaan korupsi program makan bergizi gratis demi melindungi hak nutrisi anakanak indonesia,25
117,kawan pajak tahukah kamu kalau program makan bergizi gratis mbg juga berkontribusi terhadap penerimaan pajak agar pelaksanaannya berjalan lancar transparan dan akuntabel setiap pihak yang menjalankan kegiatan usaha dalam ekosistem mbg—mulai dari yayasan penyelenggara,11
118,ribuan orang yang mengatasnamakan relawan pekerja satuan pelayanan pemenuhan gizi sppg menggelar aksi unjuk rasa di pusat pemerintahan kabupaten tangerang senin aksi ini juga didominasi emakemak yang melangsungkan unjuk rasa di depan kantor bupati tangerang,24
119,program makan bergizi gratis tidak hanya membantu memenuhi kebutuhan gizi anak tetapi juga menggerakkan ekonomi rakyat dengan melibatkan petani peternak nelayan dan umkm lokal dalam rantai pasok program ini menciptakan manfaat yang dirasakan dari hulu hingga hilir,11
120,program makan bergizi gratis tidak hanya membantu memenuhi kebutuhan gizi anak tetapi juga menggerakkan ekonomi rakyat dengan melibatkan petani peternak nelayan dan umkm lokal dalam rantai pasok program ini menciptakan manfaat yang dirasakan dari hulu hingga hilir,18
121,kasus korupsi makan bergizi gratis naik level dari tersangka ada satu bernyanyi kode yang disebut kode itu bukan angka iseng dugaan kuat merujuk pada pihak yang ikut nikmati aliran duit mbg artinya jaringan korupsi mbg ini lebih luas bukan hanya orang,23
122,program makan bergizi gratis tidak hanya membantu memenuhi kebutuhan gizi anak tetapi juga menggerakkan ekonomi rakyat dengan melibatkan petani peternak nelayan dan umkm lokal dalam rantai pasok program ini menciptakan manfaat yang dirasakan dari hulu hingga hilir,25
123,program makan bergizi gratis tidak hanya membantu memenuhi kebutuhan gizi anak tetapi juga menggerakkan ekonomi rakyat dengan melibatkan petani peternak nelayan dan umkm lokal dalam rantai pasok program ini menciptakan manfaat yang dirasakan dari hulu hingga hilir,17
124,program makan bergizi gratis fokus pada penerima yang membutuhkan,31
125,inovasi anakanak papua melalui teknologi mendukung pelaksanaan program makan bergizi gratis mbg agar lebih transparan tepat sasaran dan bermanfaat bagi generasi penerus,8
